"Date","City","State","AreaType","School","Fatalities","Wounded","lat","lng"
"3/11/96","New London","North Carolina","suburban","HS",1,2,35.4348,-80.2198
"4/11/96","Talledega","Alabama","suburban","HS",1,2,33.434940, -86.106200
"6/4/96","Hemet","California","urban","HS",1,2,33.7341,-116.9969
"8/15/96","San Diego","California","urban","C",3,0,32.8312,-117.1225
"8/26/96","San Antonio","Texas","urban","C",1,2,29.4658,-98.5253
"9/17/96","State College","Pennsylvania","suburban","C",1,2,40.7909,-77.8568
"9/25/96","Decatur","Georgia","suburban","HS",1,2,33.7711,-84.2968
"10/2/96","Philadelphia","Pennsylvania","urban","ES",2,4,40.0077,-75.1339
"10/4/96","Playa del Rey","California","suburban","HS",1,2,33.945599, -118.440582
"10/9/96","Sherwood","Arkansas","suburban","HS",1,0,34.8508,-92.2028
"10/13/96","St. Louis","Missouri","urban","HS",1,2,38.6358,-90.2451
"10/16/96","West Lafayette","Indiana","suburban","C",1,2,40.4432,-86.9239
"11/27/96","Sacramento","California","urban","HS",1,2,38.5667,-121.4683
"1/11/97","Brooklyn","New York","urban","HS",1,2,40.6501,-73.9496
"1/27/97","West Palm Beach","Florida","urban","MS",1,0,26.7468,-80.1316
"1/31/97","Tulsa","Oklahoma","urban","HS",1,2,36.1284,-95.9042
"2/19/97","Bethel","Alaska","suburban","HS",2,2,60.7928,-161.7917
"2/20/97","Jacksonville","Florida","urban","HS",1,2,30.3322,-81.6749
"3/18/97","Detroit","Michigan","urban","HS",1,2,42.3834,-83.1024
"10/1/97","Pearl","Mississippi","suburban","HS",3,7,32.273,-90.0918
"10/14/97","Garland","Texas","urban","HS",1,2,32.91,-96.6305
"10/15/97","Palmetto","Florida","suburban","MS",0,1,27.5251,-82.575
"10/22/97","Norwalk","California","urban","HS",2,4,33.9069,-118.0829
"11/13/97","Sacramento","California","urban","ES",1,2,38.5667,-121.4683
"12/1/97","West Paducah","Kentucky","suburban","HS",3,5,37.107520, -88.777580
"12/15/97","Stamps","Arkansas","suburban","HS",0,2,33.3567,-93.4956
"2/25/98","Reed City","Michigan","suburban","HS",1,2,43.8725,-85.5069
"3/1/98","Philadelphia","Pennsylvania","urban","C",1,3,40.0077,-75.1339
"3/24/98","Jonesboro","Arkansas","urban","MS",5,10,35.8212,-90.6791
"3/24/98","Craighead County","Arkansas","suburban","MS",5,10,35.839307, -90.706333
"3/25/98","Coldwater","Michigan","suburban","HS",1,2,41.9465,-84.9989
"3/30/98","Chapel Hill","North Carolina","urban","MS",0,0,35.927,-79.0391
"4/24/98","Edinboro","Pennsylvania","suburban","MS",1,3,41.8762,-80.1246
"4/28/98","Pomona","California","urban","ES",2,4,34.0585,-117.7626
"5/1/98","Buffalo","New York","urban","ES",1,2,42.9016,-78.8487
"5/19/98","Fayetteville","Tennessee","urban","HS",1,0,35.149,-86.5634
"5/21/98","Rialto","California","urban","HS",1,2,34.1174,-117.3894
"5/21/98","Springfield","Oregon","urban","HS",4,23,44.0538,-122.981
"5/27/98","Pasadena","California","urban","MS",0,0,34.1597,-118.139
"5/29/98","Fort Lauderdale","Florida","urban","HS",2,4,26.1412,-80.1464
"6/15/98","Richmond","Virginia","urban","HS",0,2,37.5295,-77.4756
"9/4/98","San Bernardino","California","urban","C",2,4,34.1417,-117.2946
"9/12/98","Glendale","California","urban","HS",0,0,34.1818,-118.2468
"12/10/98","Detroit","Michigan","urban","C",1,0,42.3834,-83.1024
"1/8/99","Carrollton","Georgia","urban","HS",1,1,33.5817,-85.0837
"1/21/99","North Richland Hills","Texas","urban","HS",1,2,32.8605,-97.218
"2/11/99","Elgin","Illinois","urban","HS",0,0,42.0385,-88.3229
"4/16/99","Notus","Idaho","suburban","HS",0,0,43.7266,-116.7998
"4/20/99","Littleton","Colorado","suburban","HS",15,21,39.5915,-105.0188
"4/23/99","Atlanta","Georgia","urban","MS",1,2,33.7627,-84.4224
"5/20/99","Conyers","Georgia","suburban","HS",0,6,33.6645,-83.9966
"8/25/99","Monticello","Georgia","suburban","HS",1,2,33.2955,-83.686
"9/7/99","Plano","Texas","urban","HS",1,2,33.0502,-96.7487
"9/9/99","San Jose","California","urban","HS",1,2,37.3019,-121.8486
"11/19/99","Deming","New Mexico","suburban","MS",1,0,32.2631,-107.7525
"12/6/99","Fort Gibson","Oklahoma","suburban","MS",0,6,35.7766,-95.2599
"1/19/00","New Port Richey","Florida","suburban","HS",0,0,28.2468,-82.717
"2/29/00","Flint","Michigan","urban","ES",1,0,43.0235,-83.6922
"5/10/00","Sierra Vista","Arizona","urban","ES",2,4,31.563,-110.3153
"5/26/00","Lake Worth","Florida","suburban","MS",1,0,26.6196,-80.0591
"6/28/00","Seattle","Washington","urban","C",2,4,47.6211,-122.3244
"7/26/00","Canton","Ohio","urban","HS",1,2,40.8075,-81.3677
"8/28/00","Fayetteville","Arkansas","urban","C",2,0,36.0713,-94.166
"9/5/00","Bidwell","Ohio","suburban","ES",2,4,38.917601, -82.282432
"9/26/00","New Orleans","Louisiana","urban","HS",0,2,30.0687,-89.9288
"10/23/00","Los Angeles","California","urban","C",1,2,34.1139,-118.4068
"10/26/00","Brooklyn","New York","urban","HS",1,2,40.6501,-73.9496
"10/27/00","Memphis","Tennessee","urban","HS",1,2,35.1046,-89.9773
"12/1/00","San Diego","California","urban","HS",0,1,32.8312,-117.1225
"1/10/01","Oxnard","California","urban","HS",1,2,34.1963,-119.1815
